Date,Description,Amount,Type,Merchant_Category,Label
2024-08-08,paytm Same political unit.,7543.99,DR,Wallet/Recharge,Expense
2024-09-17,food Standard beyond.,8111.57,DEBIT,Food,Expense
2025-02-17,emi Citizen article.,7557.98,DR,Loan,Expense
2024-07-06,SOVEREIGN GOLD BOND Body fine computer.,6090.81,DEBIT,Other,Savings
2025-06-14,rent How but magazine.,18276.18,Debit,Rent,Expense
2025-07-02,electricity bill Present develop.,9174.84,DR,Other,Expense
2025-04-05,shopping Fund four father.,4114.75,Debit,Shopping,Expense
2025-05-09,shopping Particular most.,4800.31,Debit,Shopping,Expense
2025-03-21,amazon Single exactly.,8080.59,DR,Shopping,Expense
2024-12-15,MUTUAL FUND Indeed focus east.,9271.24,Credit,Investment,Savings
2024-08-10,salary Option mention.,11957.2,CREDIT,Salary,Income
2025-02-18,INVESTMENT FUND Indicate clear put.,7173.17,Credit,Other,Savings
2025-02-24,zomato School once.,19914.89,DR,Food Delivery,Expense
2024-09-07,fuel Discuss way mother.,14878.19,Debit,Fuel,Expense
2024-09-24,paytm Wrong eight process.,19477.79,DR,Wallet/Recharge,Expense
2024-08-23,transfer from Start allow oil.,55424.84,Credit,Transfer,Income
2024-10-16,food Card break industry.,258.24,DR,Food,Expense
2024-07-24,SALARY TRANSFER Clearly again.,40521.77,CREDIT,Salary,Income
2024-11-08,TERM DEPOSIT Fall food offer.,5043.73,CREDIT,Other,Savings
2024-08-27,NPS Modern data front.,6878.75,CR,Investment,Savings
2025-02-19,shopping Oil white bag.,12845.44,DEBIT,Shopping,Expense
2025-06-16,emi Play want answer.,6992.13,DR,Loan,Expense
2025-01-15,award Movement store.,5756.05,CR,Investment,Income
2025-01-05,amazon Treatment produce.,18576.09,DR,Shopping,Expense
2024-07-11,UPI credit Traditional study.,41447.97,CREDIT,UPI,Income
2025-01-12,shopping Quality season.,16260.94,Debit,Shopping,Expense
2025-04-21,SALARY CREDITED Board lot politics.,47016.61,CR,Salary,Income
2025-03-10,commission Describe certainly.,71947.98,CR,Commission,Income
2025-06-07,fuel Position smile.,13001.36,DR,Fuel,Expense
2024-09-22,shopping Heavy relate ground.,5306.67,DEBIT,Shopping,Expense
2024-10-20,CREDITED BY Which chair hundred.,33680.54,Credit,Other,Income
2025-02-11,maturity proceeds Read deep let since.,46067.71,CR,Savings,Income
2025-03-30,salary deposit Lot store inside.,24447.55,CR,Salary,Income
2025-02-13,emi Truth present Mrs.,1457.18,DR,Loan,Expense
2025-07-01,BONUS RECEIVED Later fish talk.,71012.64,Credit,Salary,Income
2025-05-19,fuel Both particularly.,1833.29,Debit,Fuel,Expense
2025-06-22,award Dream learn low.,24380.94,CR,Investment,Income
2025-01-18,fuel East effort follow.,12529.56,DR,Fuel,Expense
2024-11-29,zomato Far indeed show.,7715.11,Debit,Food Delivery,Expense
2024-10-19,grocery Purpose beyond.,5926.69,DEBIT,Grocery,Expense
2025-01-28,salary Home art sit matter.,70809.73,Credit,Salary,Income
2025-04-18,paytm Plan choice lead.,19089.31,DEBIT,Wallet/Recharge,Expense
2025-03-24,insurance payout Under share wait.,38260.76,CR,Insurance,Income
2025-01-23,paytm Accept history.,11229.82,DEBIT,Wallet/Recharge,Expense
2025-05-17,RD DEPOSIT Cause agent step.,3149.82,Debit,Investment,Savings
2025-02-04,grocery Last up shake.,14798.91,Debit,Grocery,Expense
2024-11-14,SAVINGS ACCOUNT Return with.,7547.0,DR,Savings,Savings
2024-11-14,advance payment Easy worry rather.,29696.71,CR,Advance,Income
2025-02-21,SALARY DEPOSIT Church measure than.,59986.71,Credit,Salary,Income
2025-05-22,FIXED DEPOSIT Paper give.,8665.9,CR,Other,Savings
2025-01-22,amazon Win seat cultural.,13779.54,Debit,Shopping,Expense
2025-01-31,rent Eat employee recent.,13465.74,DEBIT,Rent,Expense
2025-03-18,fuel War cell stay.,8909.9,Debit,Fuel,Expense
2025-04-30,KVP Democrat baby glass.,1370.88,Debit,Other,Savings
2025-03-06,DIGITAL GOLD Choice fill set.,3093.68,CREDIT,Other,Savings
2025-04-03,RD INSTALLMENT Wait turn owner.,4961.85,Credit,Investment,Savings
2024-11-23,bonus credit Process share.,65870.47,CREDIT,Salary,Income
2024-09-30,NPS Education west.,1537.45,DR,Investment,Savings
2024-10-12,swiggy White fill fear.,6265.41,Debit,Food Delivery,Expense
2025-02-27,nps Get attack respond.,9283.1,Debit,Investment,Savings
2024-08-15,amazon Best attorney.,19011.92,Debit,Shopping,Expense
2024-07-15,zomato There let sell.,18051.89,Debit,Food Delivery,Expense
2025-07-03,salary deposit Difference soldier.,46798.24,CREDIT,Salary,Income
2025-05-21,swiggy Must exist fire.,4315.98,Debit,Food Delivery,Expense
2024-08-12,TATA AIA View education.,9701.33,Debit,Other,Savings
2025-04-24,fuel Hard teacher.,12213.57,Debit,Fuel,Expense
2024-09-28,paytm Very mind manager.,17881.0,DR,Wallet/Recharge,Expense
2025-04-07,food Professional white.,15279.89,DEBIT,Food,Expense
2024-07-15,RECURRING DEPOSIT Mind commercial.,4355.51,DEBIT,Other,Savings
2024-12-17,electricity bill Middle example.,7841.09,DEBIT,Other,Expense
2025-04-04,food Rule worker music.,8416.54,Debit,Food,Expense
2025-06-17,RECURRING DEPOSIT Store still.,1038.37,Debit,Other,Savings
2025-06-20,FD interest Side bad everyone.,63984.02,CREDIT,Interest,Income
2025-03-17,FIXED DEPOSIT Family religious.,6506.48,DR,Other,Savings
2025-05-15,salary credit Product people.,65202.14,CR,Salary,Income
2025-01-16,SALARY TRANSFER Day live painting.,34718.93,CREDIT,Salary,Income
2024-07-12,rent Anyone pattern door.,4299.33,DEBIT,Rent,Expense
2025-06-25,food South believe lay.,4473.96,Debit,Food,Expense
2025-06-28,amazon Ability radio.,14285.71,DR,Shopping,Expense
2025-02-04,amazon Maintain kitchen.,9124.4,DR,Shopping,Expense
2024-11-30,final settlement Control win field.,78465.0,CR,Settlement,Income
2025-06-18,SGB Or over magazine he.,4278.69,CREDIT,Other,Savings
2024-09-17,insurance claim Campaign want.,44011.39,CR,Insurance,Income
2025-05-02,food How not mention.,5394.38,Debit,Food,Expense
2025-02-02,grocery Sign sell still.,15682.38,DEBIT,Grocery,Expense
2025-06-03,NIPPON INDIA Fund happy style.,1670.76,DEBIT,Other,Savings
2024-10-15,electricity bill Just call anything.,15259.74,Debit,Other,Expense
2025-04-25,scholarship Civil camera where.,46411.5,CREDIT,Transport,Income
2025-02-08,swiggy Whatever direction.,14590.22,DEBIT,Food Delivery,Expense
2024-11-10,arrears Only use exist.,37520.85,Credit,Salary,Income
2024-10-10,food No theory stay.,16079.16,DR,Food,Expense
2024-08-23,RENT RECEIVED Understand rather.,33892.28,CREDIT,Rent,Income
2025-01-29,ICICIDIRECT Result just not gun.,857.97,DR,Other,Savings
2025-05-26,RELIANCE MF Marriage job dog.,7090.36,DR,Other,Savings
2025-06-24,salary payment Color thus against.,7841.12,CREDIT,Salary,Income
2025-01-26,KVP Hundred usually.,4330.3,CR,Other,Savings
2024-08-25,zomato News or fine some.,6293.76,DR,Food Delivery,Expense
2024-08-06,emi Report attorney.,2640.33,DEBIT,Loan,Expense
2025-04-14,swiggy Song wear enter.,13467.34,DR,Food Delivery,Expense
2025-06-15,INTEREST CREDIT Fill toward entire.,25274.97,CR,Interest,Income
2025-05-15,electricity bill Sport score life.,12235.5,DR,Other,Expense
2025-03-08,fuel Argue recognize.,2134.82,DEBIT,Fuel,Expense
2025-01-19,MIRAE ASSET Admit those get.,5885.65,DR,Other,Savings
2025-03-20,amazon Theory near mission.,6855.08,DEBIT,Shopping,Expense
2025-03-10,dividend Live modern minute.,5741.94,CR,Investment,Income
2024-08-28,electricity bill Recognize such.,17771.31,DR,Other,Expense
2024-12-16,grocery Gun may service.,6593.93,DR,Grocery,Expense
2024-07-20,commission Material everybody.,15891.84,CR,Commission,Income
2025-05-02,amazon Staff area recently.,1581.47,Debit,Shopping,Expense
2025-02-14,shopping Life care sometimes.,7568.53,Debit,Shopping,Expense
2024-09-11,amazon On describe power.,7908.68,DR,Shopping,Expense
2024-12-12,advance credit Necessary campaign.,20458.23,CREDIT,Advance,Income
2025-02-26,shopping Get spring sister.,16032.59,DR,Shopping,Expense
2024-08-06,salary payment Role help final.,37733.02,CR,Salary,Income
2024-12-08,food Perhaps everybody.,15696.18,Debit,Food,Expense
2025-06-01,RD interest Level near for.,13020.87,Credit,Interest,Income
2024-07-18,food Can movement.,10795.5,DEBIT,Food,Expense
2024-12-04,TRANSFER FROM Color week serious.,74593.78,CR,Transfer,Income
2024-08-18,fuel Protect person.,3173.05,Debit,Fuel,Expense
2024-10-05,grocery Use establish.,18995.7,DEBIT,Grocery,Expense
2024-12-23,HDFC LIFE Agreement however.,9435.07,Credit,Other,Savings
2025-02-04,zomato Check story find.,17057.4,Debit,Food Delivery,Expense
2024-12-28,ppf Ability state give.,7648.84,Debit,Investment,Savings
2025-01-12,rent By while trip watch.,1527.41,DR,Rent,Expense
2024-10-21,rent Perhaps loss my.,12658.96,DR,Rent,Expense
2025-01-19,lic Popular whole on.,1515.85,Credit,Insurance,Savings
2025-04-13,gift received Author camera pass.,40990.0,Credit,Gift,Income
2025-06-13,zomato Through should upon.,3345.27,DEBIT,Food Delivery,Expense
2024-08-18,UPSTOX Age even weight.,6057.01,CR,Other,Savings
2024-09-30,MUTUAL FUND Hour produce.,1407.85,Debit,Investment,Savings
2025-03-21,AUTO TRANSFER TO RD Ahead property.,2705.36,DEBIT,Investment,Savings
2025-05-12,RECURRING PAY Somebody culture.,8792.82,CR,Other,Savings
2024-09-10,food Expect stuff about.,9717.32,DR,Food,Expense
2024-07-26,shopping Anything eight.,4849.0,DEBIT,Shopping,Expense
2025-01-22,swiggy Performance trial.,11880.45,DEBIT,Food Delivery,Expense
2024-08-07,MUTUAL FUND Company box site.,5535.08,DR,Investment,Savings
2025-05-23,dividend payout Book recognize.,17519.22,CR,Investment,Income
2025-03-14,tax refund Now above gas.,70653.79,CR,Refund,Income
2024-10-19,rent Building.,8805.17,DEBIT,Rent,Expense
2025-06-18,DIGITAL GOLD Structure win beat.,4836.8,CR,Other,Savings
2025-04-06,rent Size they peace.,11212.56,Debit,Rent,Expense
2025-05-13,salary credited Better story modern.,63976.1,CR,Salary,Income
2025-02-23,icici pru Eat last free image.,6935.86,Credit,Other,Savings
2024-08-15,DEBIT TO MUTUAL FUND Policy board order.,9989.99,Credit,Investment,Savings
2025-05-31,GOLD BOND Capital and.,9849.77,CR,Other,Savings
2024-07-09,stipend Republican.,59367.7,CR,Stipend,Income
2024-10-06,icici pru Them animal herself.,9811.15,Debit,Other,Savings
2024-12-27,fuel Population indeed.,1319.01,Debit,Fuel,Expense
2025-02-01,cash deposit Discover happy.,74272.24,CR,Deposit,Income
2025-03-18,food Total ago economy.,3648.64,DR,Food,Expense
2025-05-02,AXIS BLUECHIP Buy low grow human.,2785.92,Debit,Other,Savings
2025-02-09,mutual fund redemption Through apply them.,41845.61,CR,Investment,Income
2024-09-01,food Their answer food.,4287.54,Debit,Food,Expense
2024-11-29,rent Radio forget her.,19014.65,DEBIT,Rent,Expense
2025-06-25,salary credit Responsibility.,51154.92,Credit,Salary,Income
2025-06-01,RD INSTALLMENT Recognize hear.,5037.83,CREDIT,Investment,Savings
2025-05-12,zomato Join likely.,14207.03,Debit,Food Delivery,Expense
2025-03-22,scholarship Third fear weight.,10427.63,CREDIT,Transport,Income
2024-07-16,paytm Center town student.,3995.86,Debit,Wallet/Recharge,Expense
2024-12-12,KVP Between on major.,8136.11,DEBIT,Other,Savings
2024-07-12,cashback It lose me none.,65771.09,Credit,Cashback,Income
2025-06-12,tax refund Hope positive.,28515.53,CREDIT,Refund,Income
2025-06-08,amazon Realize month share.,1060.65,DEBIT,Shopping,Expense
2025-04-28,salary from Project your agent.,36817.58,CR,Salary,Income
2024-11-30,zomato Car manage method.,14298.74,DEBIT,Food Delivery,Expense
2025-04-19,emi Once amount camera.,2545.81,Debit,Loan,Expense
2024-09-29,swiggy Like base family.,18485.86,DR,Food Delivery,Expense
2024-07-26,food Sense assume war.,11470.19,Debit,Food,Expense
2024-11-25,DIVIDEND RECEIVED Say tend arm maybe.,29411.78,CREDIT,Investment,Income
2025-05-11,shopping Class prepare often.,15965.46,Debit,Shopping,Expense
2025-04-28,rent Though husband.,7750.49,Debit,Rent,Expense
2025-01-25,electricity bill Every young card.,1117.91,Debit,Other,Expense
2024-08-09,paytm Decide only on.,13462.86,DR,Wallet/Recharge,Expense
2025-01-22,shopping Economy begin film.,438.22,DEBIT,Shopping,Expense
2024-12-23,rent Already drop.,15767.91,DR,Rent,Expense
2025-05-12,fuel Enough street.,7735.8,DEBIT,Fuel,Expense
2024-11-19,RTGS credit Threat reveal.,36046.8,CREDIT,RTGS,Income
2025-01-09,loan disbursal Material never.,34050.95,CR,Loan,Income
2025-01-02,ppf Side company occur.,8427.98,CREDIT,Investment,Savings
2025-06-07,ICICI PRU MF Organization source.,7822.64,DEBIT,Other,Savings
2025-02-01,sale credit Such beat executive.,72707.88,CREDIT,Sale,Income
2024-08-21,SOVEREIGN GOLD BOND Sister response.,5176.02,Debit,Other,Savings
2024-12-06,fuel Throughout night.,5582.12,DEBIT,Fuel,Expense
2025-01-15,LIC Training audience.,6658.32,DEBIT,Insurance,Savings
2025-04-16,shopping Kind that skill.,4752.38,DEBIT,Shopping,Expense
2024-11-28,UPI credit Someone.,59536.42,CR,UPI,Income
2025-05-10,CREDITED BY Whose rich to.,72800.27,CREDIT,Other,Income
2025-05-09,credited New prevent learn.,42666.3,Credit,Other,Income
2024-09-14,MUTUAL FUND PURCHASE Fear miss between.,8643.97,DEBIT,Investment,Savings
2025-05-28,paytm Blue prove story.,17434.02,DR,Wallet/Recharge,Expense
2025-05-22,food May doctor.,2474.56,DR,Food,Expense
2025-06-23,food Social south.,11847.94,Debit,Food,Expense
2024-09-05,sale proceeds Effect there.,70250.05,Credit,Sale,Income
2024-11-23,electricity bill Film will meeting.,5395.42,Debit,Other,Expense
2024-09-28,amazon Dark view continue.,14808.14,DR,Shopping,Expense
2025-04-09,fuel Entire catch.,18320.34,DR,Fuel,Expense
2024-07-20,fuel Fall particularly.,19280.97,Debit,Fuel,Expense
2025-06-26,zomato Good sit.,19888.11,DEBIT,Food Delivery,Expense
2024-11-20,swiggy Collection sound.,13990.3,DR,Food Delivery,Expense
2025-05-13,IMPS credit East eight hundred.,5487.8,CREDIT,IMPS,Income
2025-06-01,gift received Court discover.,17335.23,CR,Gift,Income
2024-12-28,swiggy Land upon hair wish.,19409.43,DR,Food Delivery,Expense
2024-08-27,SAVINGS War cut consumer.,6362.38,Debit,Savings,Savings
2025-03-17,swiggy Cost these activity.,1834.09,DEBIT,Food Delivery,Expense
2024-12-31,SALARY DEPOSIT Enjoy available.,51297.62,Credit,Salary,Income
2024-10-14,rent Forget enjoy.,5830.0,Debit,Rent,Expense
2025-06-12,stipend House foot culture.,10991.32,CREDIT,Stipend,Income
2024-10-18,swiggy Check nearly face.,8361.58,DR,Food Delivery,Expense
2024-12-20,rent Situation site.,12353.79,Debit,Rent,Expense
2024-08-22,grocery Law up room.,12738.82,DEBIT,Grocery,Expense
2024-11-21,grocery Those media job.,8190.26,DEBIT,Grocery,Expense
2024-09-28,grocery Nation risk day.,18033.97,DR,Grocery,Expense
2024-09-20,ICICIDIRECT Certainly trouble.,1283.64,DR,Other,Savings
2025-02-05,grocery Center south guy.,19623.41,DR,Grocery,Expense
2025-04-08,SALARY Couple when south.,19871.31,CREDIT,Salary,Income
2025-01-07,emi Plant institution.,19339.2,DR,Loan,Expense
2024-09-11,insurance claim Own national main.,28114.38,CREDIT,Insurance,Income
2024-07-30,electricity bill Visit increase.,4189.9,Debit,Other,Expense
2025-06-15,SGB Analysis standard.,3763.39,CREDIT,Other,Savings
2024-08-08,electricity bill Perform range look.,15887.73,Debit,Other,Expense
2025-05-24,grocery Security note apply.,13670.91,DR,Grocery,Expense
2025-05-28,salary Threat sort.,79631.91,CR,Salary,Income
2024-10-07,REFUND Hand hour wind trip.,24296.04,Credit,Refund,Income
2025-03-17,zomato Play explain assume.,7573.58,DEBIT,Food Delivery,Expense
2024-11-11,amazon Do front staff trip.,18342.64,Debit,Shopping,Expense
2025-01-09,electricity bill Itself decision.,9992.72,DEBIT,Other,Expense
2025-04-28,REIMBURSEMENT New wrong scientist.,61655.99,CR,Reimbursement,Income
2024-07-20,online transfer Bad reflect.,50531.36,CR,Transfer,Income
2024-09-28,stipend Benefit draw per.,44608.86,Credit,Stipend,Income
2025-05-27,food Figure sort state.,10505.7,DEBIT,Food,Expense
2025-05-03,emi Decision place from.,16130.94,Debit,Loan,Expense
2024-11-30,AUTO TRANSFER TO RD Factor listen.,3186.78,DR,Investment,Savings
2024-12-01,RECEIVED FROM Finally once apply.,32927.1,Credit,Other,Income
2024-11-05,RECURRING DEPOSIT Huge professor mind.,5416.79,DR,Other,Savings
2024-07-29,FRANKLIN TEMPLETON Because we crime.,8389.65,DR,Other,Savings
2025-04-29,grocery Personal inside.,17272.18,DEBIT,Grocery,Expense
2025-06-12,swiggy Know computer look.,18019.6,Debit,Food Delivery,Expense
2025-01-02,swiggy Very live charge.,17917.68,Debit,Food Delivery,Expense
2025-01-16,CREDIT Impact TV past.,42492.77,Credit,Other,Income
2025-07-01,grocery Country yes.,5875.57,Debit,Grocery,Expense
2024-12-27,swiggy Tell buy happy.,15140.28,Debit,Food Delivery,Expense
2025-03-02,paytm Require animal over.,16703.65,Debit,Wallet/Recharge,Expense
2024-11-18,SIP Grow adult friend.,3665.66,DR,Other,Savings
2025-01-09,INSURANCE PREMIUM Reduce economy east.,8921.91,CREDIT,Insurance,Savings
2024-09-17,amazon Area chance worker.,859.5,DR,Shopping,Expense
2024-09-28,grocery Environment.,16821.61,DR,Grocery,Expense
2024-08-02,food Cover enjoy provide.,17805.39,DR,Food,Expense
2024-09-06,GOLD ETF Story see foot.,9587.63,Debit,Other,Savings
2024-11-01,AUTO INVEST Line collection.,1567.4,CREDIT,Other,Savings
2025-01-21,rent Argue air effect.,9757.89,DEBIT,Rent,Expense
2025-03-01,food To response open.,18789.36,DEBIT,Food,Expense
2024-08-28,commission Lay protect defense.,69174.56,CR,Commission,Income
2024-10-29,swiggy Admit laugh offer.,9735.7,Debit,Food Delivery,Expense
2025-06-01,SALARY Bring man blue.,36640.04,Credit,Salary,Income
2024-12-30,payment from Week director.,65590.9,CR,Other,Income
2025-05-10,grocery Blue by fish small.,3950.85,Debit,Grocery,Expense
2024-10-12,swiggy Foot lay discussion.,1978.08,DR,Food Delivery,Expense
2025-06-10,emi Put bank beautiful.,1807.93,Debit,Loan,Expense
2024-11-19,RECEIVED FROM Grow book build.,66124.76,CR,Other,Income
2024-10-01,RECEIVED FROM Single woman force.,31063.03,CREDIT,Other,Income
2025-03-23,GOLD ETF Major Mrs eye.,1535.4,DR,Other,Savings
2025-02-05,grocery Specific itself.,15364.64,DR,Grocery,Expense
2024-09-26,zomato Fill business.,15568.35,DEBIT,Food Delivery,Expense
2024-09-24,RENT RECEIVED Ever sea above.,67441.93,Credit,Rent,Income
2024-08-27,TATA AIA Then always itself.,5240.51,Credit,Other,Savings
2025-04-07,grocery Level teach level.,2056.07,Debit,Grocery,Expense
2025-05-10,amazon Join threat hand.,8955.76,DEBIT,Shopping,Expense
2025-06-22,paytm Analysis trial fish.,18863.0,DEBIT,Wallet/Recharge,Expense
2024-12-29,swiggy Nice side include.,1347.58,Debit,Food Delivery,Expense
2025-02-15,electricity bill Next history second.,6845.47,DEBIT,Other,Expense
2025-06-15,emi Field I start me.,15189.18,DR,Loan,Expense
2025-02-01,AUTO TRANSFER TO FD Side free report.,6584.17,CR,Investment,Savings
2025-01-01,swiggy Perhaps arm side.,14183.5,DR,Food Delivery,Expense
2025-04-11,swiggy Natural side.,9459.75,DR,Food Delivery,Expense
2025-06-20,emi Necessary research.,6914.72,Debit,Loan,Expense
2025-01-16,DEMAT Life civil position.,3708.79,CR,Other,Savings
2025-01-01,grocery Lawyer listen take.,868.45,DEBIT,Grocery,Expense
2025-05-07,grocery Half wide.,15653.45,DEBIT,Grocery,Expense
2025-06-07,swiggy Type wind represent.,7407.65,Debit,Food Delivery,Expense
2024-07-25,fuel Growth kid field.,17929.86,Debit,Fuel,Expense
2024-11-19,SAVINGS Republican here.,3219.14,DR,Savings,Savings
2025-03-10,shopping Professor bar.,6175.3,Debit,Shopping,Expense
2025-02-02,amazon Raise television.,18713.68,DR,Shopping,Expense
2024-12-12,shopping Author computer.,13764.8,DR,Shopping,Expense
2025-06-21,rent News reason early.,13236.99,DR,Rent,Expense
2025-06-04,RD Computer main.,9315.47,DR,Investment,Savings
2025-01-30,SALARY Produce member.,50757.25,CR,Salary,Income
2025-06-10,CREDITED TO Free speak anyone.,21800.28,CR,Other,Income
2025-02-15,employer credit PM computer baby us.,29085.5,CR,Salary,Income
2025-06-11,swiggy Everything begin.,16166.23,DEBIT,Food Delivery,Expense
2024-09-03,shopping Will four sit visit.,2764.83,DR,Shopping,Expense
2024-07-07,emi Eat high prove.,6238.29,DR,Loan,Expense
2024-08-13,fuel Thought rest work.,110.63,DEBIT,Fuel,Expense
2025-03-28,paytm Surface professor.,14795.9,DR,Wallet/Recharge,Expense
2025-03-18,cashback Oil author.,45496.01,Credit,Cashback,Income
2025-03-11,PPF Table woman who.,9470.16,DEBIT,Investment,Savings
2025-05-06,fuel Speak business.,11073.17,DEBIT,Fuel,Expense
2025-04-19,SHARE PURCHASE Turn college more.,1787.73,DEBIT,Other,Savings
2024-07-28,tax refund Think give full its.,47802.95,Credit,Refund,Income
2025-02-27,medical claim Something get.,43026.08,CR,Medical,Income
2025-04-08,insurance payout Almost her summer.,16405.89,Credit,Insurance,Income
2024-11-20,expense claim Fill exactly write.,50437.2,CR,Reimbursement,Income
2025-03-31,MUTUAL FUND Least less whether.,739.87,DR,Investment,Savings
2025-01-25,INVESTMENT TRANSFER Win history enter.,6895.95,Credit,Transfer,Savings
2024-09-24,emi Pay a research.,9039.55,DEBIT,Loan,Expense
2025-05-17,food Clearly check.,10726.03,Debit,Food,Expense
2025-03-15,reversal Assume theory.,52775.36,Credit,Reversal,Income
2025-01-30,paytm Include wrong yeah.,684.46,DR,Wallet/Recharge,Expense
2024-10-13,shopping Decade official.,15764.88,DR,Shopping,Expense
2025-05-27,INVESTMENT FUND Paper both method.,8713.42,DEBIT,Other,Savings
2025-02-01,amazon Lawyer early.,13846.22,DEBIT,Shopping,Expense
2025-05-17,swiggy Focus election.,11498.3,DEBIT,Food Delivery,Expense
2025-04-01,LIFE INSURANCE Himself indeed rest.,9125.34,DEBIT,Insurance,Savings
2024-10-27,amazon Certainly evidence.,15944.98,DR,Shopping,Expense
2024-11-19,electricity bill Send best voice.,18125.59,Debit,Other,Expense
2025-04-01,refund President month.,59139.36,CR,Refund,Income
2025-02-27,swiggy Yeah control within.,3396.84,DR,Food Delivery,Expense
2025-05-25,bank transfer Write lot success.,65582.51,Credit,Transfer,Income
2025-07-01,pension Family force.,6640.6,Credit,Pension,Savings
2025-01-16,fuel However vote.,19765.45,DEBIT,Fuel,Expense
2024-11-19,INTEREST CREDIT Consider good.,49703.38,Credit,Interest,Income
2025-01-06,shopping East from eat.,10202.61,DEBIT,Shopping,Expense
2024-07-31,emi Something others.,8418.71,DR,Loan,Expense
2025-07-04,zomato Economic college.,11837.78,DEBIT,Food Delivery,Expense
2025-04-19,rent Market democratic.,19428.19,DR,Rent,Expense
2024-12-14,NATIONAL PENSION SYSTEM Base detail war.,7621.32,CR,Pension,Savings
2025-01-30,tax refund Consider range true.,33184.97,CREDIT,Refund,Income
2025-02-01,zomato May exist against.,244.79,DR,Food Delivery,Expense
2025-06-21,shopping Sort father.,6351.37,DEBIT,Shopping,Expense
2025-02-07,award Parent leg public.,35563.24,Credit,Investment,Income
2025-05-12,SALARY Owner among most.,60643.73,CR,Salary,Income
2025-01-01,fuel Anything increase.,1409.57,Debit,Fuel,Expense
2025-06-09,FIXED DEPOSIT Director recognize.,9593.94,DR,Other,Savings
2024-11-22,SALARY PAYMENT Scene pull follow.,10558.59,Credit,Salary,Income
2024-09-01,salary deposit Thank pick close.,78608.48,Credit,Salary,Income
2024-09-16,advance payment Police page.,77660.45,CR,Advance,Income
2024-08-23,FD INTEREST CREDIT Nature task off.,522.75,DEBIT,Interest,Savings
2025-03-07,TATA AIA Decade necessary.,2863.44,CREDIT,Other,Savings
2025-07-03,SGB PURCHASE Rule within accept.,7676.97,DR,Other,Savings
2024-11-16,food Book only provide.,2639.75,DEBIT,Food,Expense
2025-04-14,SBI BLUECHIP Number standard.,3438.93,CREDIT,Other,Savings
2025-04-28,pension Military phone mean.,51970.88,CR,Pension,Income
2024-11-25,CREDITED Reduce million.,32003.92,CREDIT,Other,Income
2025-05-12,DIVIDEND RECEIVED Consider stuff team.,51035.07,Credit,Investment,Income
2025-06-13,fuel Force wish would.,8351.02,Debit,Fuel,Expense
2025-01-09,REFUND Choose team will.,14729.55,Credit,Refund,Income
2025-05-20,shopping Interest learn fast.,19927.1,DR,Shopping,Expense
2024-07-28,TERM PLAN Choose miss capital.,4021.46,DR,Other,Savings
2024-09-20,SALARY CREDITED Skin memory smile.,54916.53,CREDIT,Salary,Income
2024-10-28,emi Culture only.,3435.72,DR,Loan,Expense
2024-12-31,grocery Leg forward.,8659.99,DR,Grocery,Expense
2025-01-25,dividend credit By business huge.,14802.29,CR,Investment,Income
2024-12-30,advance credit Billion town or.,67825.81,Credit,Advance,Income
2025-05-29,salary transfer Simple ball ten.,44202.1,Credit,Salary,Income
2024-08-20,food Return use that.,12153.06,DR,Food,Expense
2024-12-15,electricity bill Along son good out.,406.06,DEBIT,Other,Expense
2025-02-27,incentive Present information.,11764.72,CR,Other,Income
2024-08-01,paytm Expect method.,19419.93,Debit,Wallet/Recharge,Expense
2024-09-19,food Ready education.,2375.61,Debit,Food,Expense
2025-02-09,sip Box prevent by.,8849.81,DR,Other,Savings
2025-03-05,swiggy Parent win be floor.,15380.16,DEBIT,Food Delivery,Expense
2024-09-05,expense claim People however.,39312.31,Credit,Reimbursement,Income
2025-05-22,SBI BLUECHIP Lead tax hope.,1078.61,CR,Other,Savings
2025-01-11,swiggy Somebody write give.,1565.5,DR,Food Delivery,Expense
2024-12-07,rent Billion weight risk.,13922.11,Debit,Rent,Expense
2025-04-15,CREDITED Performance group.,41645.88,CREDIT,Other,Income
2024-12-20,gift received Painting wrong list.,63072.22,Credit,Gift,Income
2025-04-21,amazon Personal run dog.,12418.43,DEBIT,Shopping,Expense
2024-08-14,RD INSTALLMENT Discover threat.,6880.85,DEBIT,Investment,Savings
2025-03-24,grocery Step television.,8854.37,Debit,Grocery,Expense
2024-08-08,fuel Worry moment once.,13146.96,Debit,Fuel,Expense
2025-06-27,emi Low treat door road.,3570.23,DR,Loan,Expense
2024-10-19,paytm Happen minute admit.,505.32,Debit,Wallet/Recharge,Expense
2025-01-07,swiggy Past us city.,9773.94,DR,Food Delivery,Expense
2025-03-17,emi He turn attorney.,5975.58,DR,Loan,Expense
2025-01-29,RD INSTALLMENT Situation anyone.,3644.93,CREDIT,Investment,Savings
2024-12-28,emi Today class guy.,2582.01,DR,Loan,Expense
2024-12-31,insurance claim Style green store.,65413.63,Credit,Insurance,Income
2025-03-07,rent Time rule land ask.,11613.89,DEBIT,Rent,Expense
2024-11-26,zomato Risk better finally.,4646.62,Debit,Food Delivery,Expense
2025-04-09,ACH/NEFT credit Specific shoulder.,40224.15,CREDIT,Other,Income
2024-12-22,zomato Social matter.,17837.81,Debit,Food Delivery,Expense
2025-01-21,fuel Fall plan these bag.,7932.98,DEBIT,Fuel,Expense
